from/to,Muenster,Steinfurt,Coesfeld,Warendorf,Borken,Recklinghausen,Unna,Hamm,Dortmund,Osnabrueck (LK),Osnabrueck (SK)
Muenster,0,5789,4032,4365,891,809,858,989,1176,0,749
Steinfurt,22183,0,1952,1645,3891,0,0,0,0,5693,9859
Coesfeld,18890,2119,0,1020,5067,4024,2944,663,1885,0,0
Warendorf,14607,1527,1069,0,0,0,1047,4125,924,1620,417
Borken,2876,3801,5508,0,0,3294,0,0,0,0,0
Recklinghausen,2647,349,3890,0,3305,0,3674,581,13834,0,0
Unna,2443,238,3423,883,0,2809,0,5815,29326,0,0
Hamm,2300,0,550,3535,0,0,7062,0,3090,0,0
Dortmund,1108,0,520,407,0,5046,15723,1753,0,0,0
Osnabrueck (LK),1065,5464,0,1174,0,0,0,0,0,0,32020
Osnabrueck (SK),901,3755,0,0,0,0,0,0,0,11974,0
